freq (Hz),output noise; A / sqrt(Hz) M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) M 4  (A / sqrt(Hz))
56.2341,65.4045E-12,58.5187E-12,57.9589E-12,65.1035E-12,80.9693E-12
57.5440,64.7660E-12,58.0361E-12,57.6050E-12,64.8401E-12,80.7499E-12
58.8844,64.1359E-12,57.5605E-12,57.2571E-12,64.5817E-12,80.5350E-12
60.2560,63.5141E-12,57.0920E-12,56.9151E-12,64.3282E-12,80.3243E-12
61.6595,62.9005E-12,56.6304E-12,56.5788E-12,64.0795E-12,80.1180E-12
63.0957,62.2951E-12,56.1756E-12,56.2483E-12,63.8356E-12,79.9158E-12
64.5654,61.6977E-12,55.7276E-12,55.9233E-12,63.5962E-12,79.7177E-12
66.0693,61.1082E-12,55.2863E-12,55.6040E-12,63.3615E-12,79.5236E-12
67.6083,60.5266E-12,54.8516E-12,55.2901E-12,63.1312E-12,79.3336E-12
69.1831,59.9528E-12,54.4234E-12,54.9817E-12,62.9054E-12,79.1474E-12
70.7946,59.3868E-12,54.0017E-12,54.6786E-12,62.6839E-12,78.9650E-12
72.4436,58.8283E-12,53.5864E-12,54.3807E-12,62.4667E-12,78.7863E-12
74.1310,58.2774E-12,53.1774E-12,54.0881E-12,62.2537E-12,78.6113E-12
75.8578,57.7339E-12,52.7747E-12,53.8006E-12,62.0449E-12,78.4400E-12
77.6247,57.1978E-12,52.3781E-12,53.5181E-12,61.8401E-12,78.2722E-12
79.4328,56.6691E-12,51.9876E-12,53.2406E-12,61.6394E-12,78.1078E-12
81.2831,56.1475E-12,51.6032E-12,52.9680E-12,61.4425E-12,77.9469E-12
83.1764,55.6331E-12,51.2248E-12,52.7003E-12,61.2496E-12,77.7892E-12
85.1138,55.1258E-12,50.8522E-12,52.4373E-12,61.0604E-12,77.6349E-12
87.0964,54.6255E-12,50.4854E-12,52.1791E-12,60.8750E-12,77.4838E-12
89.1251,54.1321E-12,50.1245E-12,51.9254E-12,60.6933E-12,77.3358E-12
91.2011,53.6455E-12,49.7692E-12,51.6764E-12,60.5151E-12,77.1910E-12
93.3254,53.1657E-12,49.4195E-12,51.4319E-12,60.3405E-12,77.0492E-12
95.4993,52.6926E-12,49.0754E-12,51.1917E-12,60.1694E-12,76.9103E-12
97.7237,52.2262E-12,48.7367E-12,50.9560E-12,60.0018E-12,76.7744E-12
100.000,51.7663E-12,48.4035E-12,50.7246E-12,59.8374E-12,76.6413E-12
102.329,51.3129E-12,48.0756E-12,50.4974E-12,59.6764E-12,76.5110E-12
104.713,50.8659E-12,47.7530E-12,50.2744E-12,59.5187E-12,76.3835E-12
107.152,50.4252E-12,47.4357E-12,50.0555E-12,59.3641E-12,76.2587E-12
109.648,49.9909E-12,47.1235E-12,49.8407E-12,59.2126E-12,76.1365E-12
112.202,49.5627E-12,46.8164E-12,49.6298E-12,59.0643E-12,76.0169E-12
114.815,49.1407E-12,46.5143E-12,49.4229E-12,58.9189E-12,75.8999E-12
117.490,48.7247E-12,46.2172E-12,49.2199E-12,58.7765E-12,75.7853E-12
120.226,48.3148E-12,45.9250E-12,49.0207E-12,58.6370E-12,75.6732E-12
123.027,47.9108E-12,45.6377E-12,48.8252E-12,58.5004E-12,75.5635E-12
125.893,47.5127E-12,45.3551E-12,48.6334E-12,58.3665E-12,75.4561E-12
